Sample ID,Latitude,Longitude,Hardness,PH,SI (CO2(g)),SOR,TDS,TTHM,Alkalinity,DO,EC (Field),ORP (mV),pH (Field),Res Cl,Temp (Field),Turbidity (Lab),"Gross ?, Bq/L","Gross ?, Bq/L"
1,28.41436005,36.67013168,210.6000061,7.099999905,-2.442699909,,483.8999939,0,185,5.400000095,808,465,7.809999943,,31.02000046,0.200000003,0,0
2,28.41436005,36.67013168,209,7.099999905,-2.442500114,,482.1000061,0,185,5.400000095,808,465,7.809999943,0.050000001,31.02000046,0.100000001,0,0
3,28.39208984,36.59313965,312.2999878,7.539999962,-1.74090004,,682.0999756,0,200,4.150000095,1114,460,7.119999886,0.01,28.05999947,0.200000003,0,0
4,28.39208984,36.59313965,313.3999939,7.550000191,-1.74090004,,682.9000244,0,200,4.150000095,1114,460,7.119999886,,28.05999947,0.200000003,0,0
5,28.41153908,36.58538055,249.6999969,7.869999886,-1.609400034,,499.2000122,0,175,6.03000021,815,497,6.949999809,0.039999999,29.79999924,0.200000003,0,0
6,28.41153908,36.58538055,249.8999939,7.869999886,-1.609300017,,497.2999878,0,175,6.03000021,815,497,6.949999809,,29.79999924,0.200000003,0,0
7,28.41316986,36.6739502,247.3000031,7.510000229,-1.940799952,,488.8999939,0,170,5.420000076,847,439,7.28000021,0.01,31.69000053,0.300000012,0,0
8,28.41251945,36.5838089,251.8999939,7.670000076,-1.787099957,,493.7000122,0,170,3.769999981,840,610,7.119999886,,30.65999985,0.100000001,0,0
9,28.41251945,36.5838089,251.6999969,7.670000076,-1.787099957,,494.6000061,0,170,3.769999981,840,610,7.119999886,0.059999999,30.65999985,0.100000001,0,0
10,28.39196968,36.60007095,251.1000061,7.820000172,-1.618199944,,504.2000122,0,180,5.809999943,842,436,6.96999979,0.02,29.68000031,0.200000003,0,0
11,28.39660072,36.75331116,232.6999969,7.880000114,-1.650599957,,449.7999878,0,170,5.119999886,772,439,6.989999771,0.02,31.20000076,0.300000012,0,0
12,28.40673065,36.70568085,303,7.650000095,-1.617499948,,665.7999878,0,200,4,1100,449,7.010000229,0.02,29.87999916,0.300000012,0,0
13,28.40866089,36.58478165,127.3000031,7.440000057,-3.348500013,,258,0,90,5.880000114,400,508,8.380000114,0.01,28.30999947,0.200000003,0,0
14,28.40523911,36.59801865,358.3999939,7.610000134,-1.612400055,,822.5,0,200,5.480000019,1090,427,7,0.02,30.06999969,0.400000006,0,0
15,28.41860008,36.65914154,246.8999939,7.71999979,-1.745300055,,491.5,0,170,5.710000038,873,439,7.090000153,0.02,32.34999847,0.200000003,0,0
16,28.40428925,36.59674835,240.8000031,8.460000038,-0.9472,,494.5,0,170,5.190000057,872,416,6.300000191,0.039999999,33.25999832,0.200000003,0,0
17,28.42468071,36.64191055,1030.300049,6.21999979,-1.808699965,,3102.800049,0,255,3.569999933,6518,379,7.329999924,,41.43000031,0.200000003,0,0
18,28.42468071,36.64191055,1035.800049,6.239999771,-1.817600012,,3116,0,250,3.569999933,6518,379,7.329999924,0.039999999,41.43000031,0.100000001,0,0
19,28.40633011,36.57189178,71.09999847,9.75,-2.221699953,,157.8000031,0,50,6.690000057,254,486,7.039999962,0.02,29.56999969,0.100000001,0,0
20,28.40788078,36.5875206,52.79999924,10.47000027,-1.538200021,,122.5,0,50,3.25999999,161,406,6.380000114,0.02,32.29999924,0.100000001,0,0
21,28.40092087,36.5831604,256.7999878,7.489999771,-1.882699966,,526.2999878,0,170,4.699999809,944,506,7.230000019,0.029999999,33.11000061,0.200000003,0,0
22,28.4081192,36.58678055,242.8000031,7.630000114,-1.601799965,,489.5,0,170,3.25,1008,383,6.980000019,,37.20000076,0.200000003,0,0
23,28.4081192,36.58678055,242.3000031,7.619999886,-1.601699948,,488.7999878,0,170,3.25,1008,383,6.980000019,0.050000001,37.20000076,0.200000003,0,0
24,28.3980999,36.58058929,262.7999878,7.25,-2.113100052,,553.0999756,0,180,4.909999847,941,476,7.46999979,0.050000001,31.26000023,0.200000003,0,0
25,28.42967987,35.53765106,211.8000031,9.600000381,0.216600001,,453.8999939,0,220,4.300000191,549,457,5.199999809,,24.95999908,0.200000003,0,0
26,28.42967987,35.53765106,210.3000031,9.619999886,0.216700003,0.034074076,453.7000122,0,220,4.300000191,549,457,5.199999809,,24.95999908,0.200000003,5.99,1.65
